,Summoner ID
65,Tv2u9EYEqNkH3W16E6T2k2sN_zDDumoZezjc3TfNvbCgipCQ
66,3brpVzzK0nVUfFxf2Ebb7xuMI0rV8tEa7erq5fZDiS0SFpFE
67,Q3Vdyq2mgOgX0WLLJfoXqFvMv37lXUtRhcMv65d0YHbxyvZP
68,W9tczUEngOh67GuUv7LWzhvvIu_UoeIyVOgw8HW1mUaTpBfY
69,HQI6MAfPD9AWWbWRCUAk-aZWNQsRMM9zt0GqBQKXn_Aak2ma
70,GR_ip1zds5L_a3QjSF1O0NZjQgNXZwh1VGa3k8sgUbSxUYzh
71,1Z4ma-zCtuSP-lK9f6P1RhSEV2xXGlosf8KpKi_D4fXwTHSs
72,XLWZxbWNnPeUXyCL60Xz5UHCftArDJGHzcjjYiYuTLSMEv8v
73,GiYY0tzlApbdAIOn3ZURuUCytuDKpzirs-MCFsmxRPlBu7vv
74,Xa4m5zBEb5AL2BwyDFdH7eFR4wfjznYC7CmQcPLCRrB1FXrJ
75,dqlt_2EOAuR3tk6IuU494-mmpwEzZDmtiC1HLM4ZXKYQhO4-
76,kqFj1S7S7r9OImDeqfNK1SAQhRlWGD_aQFx06mUQklLc-jUS
77,Esb9_K_1S156gc3I5u6e-gn6yW3wxOVHkWtozYIKd4GQRkh8
78,MuQPu8pc4rRG4JyumiBrf9w8T6tbScmgxQPOquaQD-aP5wz2
79,M8g0BmtZsExobP1LVe4_Fe7AveklScyXnenNa42A491pC1tD
80,Xhe4HBPXur2RU-sKCz_kjDcf6zwufXl5c1vdpSBSyBAaVWKR
81,IV5025y9jw1Vd5BtubNS4U_cauLmx0IYqPJo1PEP5_EzdFhh
82,n4XfMoM2V4l2nMgBqvJubrkA9CIDHLe0BuBn-IMNU-b_h3go
83,w4bmGfQKSWQz2x2TUMz4vz4t5fBL4ux41Wtxq9FJ7B37VHFR
84,tqoZ3HsVXkuxq7vXjkH0vlFkAq-fg1mQ-L4SBO9IoQOFx9PQ
85,xIOoEH6M6sauYwR5UvYstO8-NxN5RxonNUx844GYzyROAkAR
86,QrF5iSCYXHnaqE_-fjHXpCMBF8Vj6Sn4WsQGaWrRbZcyrvny
87,HCQLQMuUyrckEDhx2byOSmcaJrLPjgW-_nCDfEQlrhjKnDNH
88,fBhKpufG6ZXrkdubYVdAiwDfIZn-Fv3vY8-20UkDzLYqVCN3
89,gpCJw_UflwKb0CAPkObnQJl_sJHunL3MWwmFLAuDkqzWd8e3
90,wpuQOBbscMRBrCqXmuudFXKezyPzrPgbUdYPoRueyCj9nrgB
91,Vf2_GFkHdUcbtSYCp3yB3Z3wlgu32uMpVaO1dCnRtH10eL7H
92,EbfOTOh3HsJgIDb6tPRSe3cYEY9wxW36xpWHtLelw5UVbDKr
93,BHvNWcuqytxbDWuS9Pqdqm6z8Shpf7L3flpK2Fqe3IwZkIjb
94,Jp-RYt9CXzwYwTLQaLawA_QdFF5sm_lfiKGWMwEQo_iag8jZ
95,nuwX0y5i9bNwvMQjbzknyaQQDZ1b-WZ5mNHdQgo979kHMloa
96,Fut57wA3GjwJGvlIe6oenHAx3liq4ynAM4IARrXUoDkKqznS
97,HN3OwUJOX5F7hEypA2dq0_GRyDaYJCY7kVabAVKwxbFhpaBl
98,u9VRtCWPZPk07E2YWo512NE-7qKbwBlHDzEhOI2xIA9sRQLG
99,98z1CVnm3ReFili4NnXb7TP5ZR3hUbItCvZvBLicdOVoKPP4
100,MTghP9AlZBRKF8BfnoEtx2L2LpjPI4V7FLEvYCpu92OTfaKB
101,w1L-wp1a3781rQJCHXzB_aMLEKhAKZ8pMSKMQ29VLJ9BQETv
102,COg3hbj3Lmp736IHlEZs-fFTaFFTsUHLNYvRRAITU1LaRKCs
